nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19603733,756102,America
Peru,33715471,1285216,America
Uruguay,3492151,176215,America
Paraguay,6703799,406752,America
Bolivia,12079472,1098581,America
Colombia,51874024,1141748,America
Mexico,128932753,1964375,America
Estados Unidos,331893745,9833517,America
Canada,38246108,9984670,America
España,47450795,505990,Europa
Alemania,83149300,357022,Europa
Francia,68042591,551695,Europa
Italia,58983122,301340,Europa
Portugal,10305564,92212,Europa
Reino Unido,67215293,243610,Europa
Japon,125800000,377975,Asia
China,1412600000,9596961,Asia
India,1407563842,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,275501339,1904569,Asia
Australia,25687041,7692024,Oceania
Nueva Zelanda,5122600,268838,Oceania
Egipto,109262178,1002450,Africa
Nigeria,223804632,923768,Africa
Sudafrica,60414495,1221037,Africa
Marruecos,37457971,446550,Africa
